customer_id,days_since_csm_touch,last_qbr_days,has_executive_sponsor
CUST-100000,13,173,0
CUST-100001,3,143,0
CUST-100002,20,178,1
CUST-100003,45,88,1
CUST-100004,106,160,1
CUST-100005,29,25,1
CUST-100006,89,174,0
CUST-100007,88,142,0
CUST-100008,27,145,1
CUST-100009,95,143,1
CUST-100010,63,23,0
CUST-100011,48,152,1
CUST-100012,96,68,1
CUST-100013,22,129,0
CUST-100014,67,0,1
CUST-100015,72,20,0
CUST-100016,70,42,1
CUST-100017,83,95,1
CUST-100018,75,141,0
CUST-100019,4,84,0
CUST-100020,119,146,1
CUST-100021,54,105,1
CUST-100022,24,137,1
CUST-100023,110,140,0
CUST-100024,27,102,0
CUST-100025,93,142,1
CUST-100026,7,12,1
CUST-100027,8,172,0
CUST-100028,84,149,1
CUST-100029,16,171,1
CUST-100030,64,67,0
CUST-100031,69,180,1
CUST-100032,112,34,1
CUST-100033,81,67,1
CUST-100034,98,33,1
CUST-100035,88,38,0
CUST-100036,119,10,1
CUST-100037,118,60,0
CUST-100038,110,63,1
CUST-100039,58,89,1
CUST-100040,110,17,1
CUST-100041,33,45,1
CUST-100042,14,98,0
CUST-100043,94,171,0
CUST-100044,92,76,1
CUST-100045,53,170,1
CUST-100046,55,148,1
CUST-100047,101,43,0
CUST-100048,18,6,0
CUST-100049,51,62,0
CUST-100050,6,142,0
CUST-100051,96,113,1
CUST-100052,31,163,1
CUST-100053,36,60,1
CUST-100054,90,54,0
CUST-100055,53,99,0
CUST-100056,109,107,0
CUST-100057,86,103,0
CUST-100058,84,6,0
CUST-100059,27,116,1
CUST-100060,69,13,1
CUST-100061,30,32,1
CUST-100062,77,29,0
CUST-100063,25,19,0
CUST-100064,47,17,1
CUST-100065,58,39,1
CUST-100066,93,151,1
CUST-100067,85,97,1
CUST-100068,43,71,1
CUST-100069,30,176,1
CUST-100070,31,78,1
CUST-100071,34,78,1
CUST-100072,27,123,1
CUST-100073,38,3,0
CUST-100074,62,26,0
CUST-100075,120,122,0
CUST-100076,72,77,0
CUST-100077,116,113,1
CUST-100078,97,53,0
CUST-100079,57,176,1
CUST-100080,9,175,0
CUST-100081,116,68,0
CUST-100082,88,77,1
CUST-100083,77,64,0
CUST-100084,83,113,1
CUST-100085,42,82,0
CUST-100086,51,140,0
CUST-100087,105,0,1
CUST-100088,6,52,1
CUST-100089,77,61,0
CUST-100090,14,118,0
CUST-100091,106,123,1
CUST-100092,35,106,1
CUST-100093,62,38,1
CUST-100094,41,48,0
CUST-100095,103,97,1
CUST-100096,12,112,0
CUST-100097,60,67,1
CUST-100098,91,124,0
CUST-100099,55,25,0
CUST-100100,47,110,0
CUST-100101,78,97,0
CUST-100102,1,119,1
CUST-100103,54,176,1
CUST-100104,45,147,1
CUST-100105,87,12,1
CUST-100106,32,173,0
CUST-100107,16,23,1
CUST-100108,116,69,0
CUST-100109,96,57,1
CUST-100110,58,94,1
CUST-100111,113,143,1
CUST-100112,52,29,0
CUST-100113,17,99,1
CUST-100114,106,125,1
CUST-100115,30,92,0
CUST-100116,108,116,0
CUST-100117,26,17,0
CUST-100118,16,138,1
CUST-100119,100,60,1
CUST-100120,8,121,1
CUST-100121,100,168,1
CUST-100122,91,113,0
CUST-100123,81,149,1
CUST-100124,14,167,0
CUST-100125,12,80,1
CUST-100126,10,23,1
CUST-100127,45,170,1
CUST-100128,27,39,1
CUST-100129,103,109,0
CUST-100130,23,36,1
CUST-100131,58,87,0
CUST-100132,96,158,0
CUST-100133,53,69,0
CUST-100134,75,124,1
CUST-100135,27,35,1
CUST-100136,68,180,0
CUST-100137,117,19,1
CUST-100138,2,83,0
CUST-100139,31,111,1
CUST-100140,21,19,0
CUST-100141,32,50,0
CUST-100142,97,148,1
CUST-100143,56,161,1
CUST-100144,4,14,1
CUST-100145,70,10,1
CUST-100146,7,115,0
CUST-100147,56,112,0
CUST-100148,101,161,1
CUST-100149,109,168,0
CUST-100150,120,21,1
CUST-100151,54,130,1
CUST-100152,17,39,0
CUST-100153,20,46,0
CUST-100154,96,114,0
CUST-100155,59,72,1
CUST-100156,61,95,0
CUST-100157,65,37,1
CUST-100158,47,60,1
CUST-100159,18,35,0
CUST-100160,10,4,1
CUST-100161,30,107,1
CUST-100162,30,36,1
CUST-100163,10,134,1
CUST-100164,32,4,1
CUST-100165,42,34,0
CUST-100166,23,34,0
CUST-100167,40,79,1
CUST-100168,99,12,1
CUST-100169,63,177,1
CUST-100170,105,46,1
CUST-100171,91,109,0
CUST-100172,81,14,0
CUST-100173,77,173,1
CUST-100174,72,8,0
CUST-100175,46,101,1
CUST-100176,116,143,0
CUST-100177,25,31,0
CUST-100178,108,81,1
CUST-100179,15,51,0
CUST-100180,16,156,0
CUST-100181,52,147,0
CUST-100182,106,141,0
CUST-100183,21,41,1
CUST-100184,70,70,0
CUST-100185,19,43,1
CUST-100186,33,166,0
CUST-100187,69,74,1
CUST-100188,56,106,1
CUST-100189,44,102,0
CUST-100190,31,36,0
CUST-100191,119,147,1
CUST-100192,11,100,1
CUST-100193,107,167,1
CUST-100194,97,103,1
CUST-100195,9,98,1
CUST-100196,47,86,1
CUST-100197,4,35,1
CUST-100198,78,81,0
CUST-100199,90,144,1
CUST-100200,101,176,0
CUST-100201,21,134,1
CUST-100202,40,107,0
CUST-100203,66,53,1
CUST-100204,45,173,1
CUST-100205,98,73,0
CUST-100206,86,139,1
