customer_id,company_name,industry,subscription_tier,annual_recurring_revenue,licensed_users,renewal_days,nps_score
CUST-100000,Nimbus Solutions,Logistics,Professional,140393,342,115,-23
CUST-100001,Nova Solutions,Healthcare,Starter,126629,317,120,24
CUST-100002,Atlas Technologies,Manufacturing,Professional,157852,381,4,57
CUST-100003,BluePeak Health,Manufacturing,Professional,65587,189,48,8
CUST-100004,Apex Industries,Education,Starter,210461,428,41,30
CUST-100005,Summit Systems,Healthcare,Enterprise,131484,310,149,-30
CUST-100006,Pioneer Networks,Manufacturing,Professional,198264,157,108,45
CUST-100007,Vertex Financial,Manufacturing,Professional,210943,326,139,78
CUST-100008,Evergreen Solutions,Manufacturing,Starter,177388,365,206,-6
CUST-100009,Pioneer Technologies,Logistics,Professional,86905,123,136,-23
CUST-100010,Bright Technologies,Education,Professional,201790,397,113,-23
CUST-100011,Nimbus Health,Logistics,Starter,233333,455,306,-32
CUST-100012,BluePeak Solutions,Logistics,Enterprise,72058,285,350,73
CUST-100013,BluePeak Technologies,Manufacturing,Professional,13701,72,135,24
CUST-100014,BluePeak Financial,Manufacturing,Professional,96698,460,277,59
CUST-100015,Apex Systems,Financial Services,Professional,137541,265,30,-10
CUST-100016,Pioneer Systems,Education,Starter,79314,389,338,20
CUST-100017,Bright Technologies,Manufacturing,Enterprise,117461,285,160,11
CUST-100018,Atlas Industries,Healthcare,Starter,129806,475,33,3
CUST-100019,Summit Solutions,Healthcare,Enterprise,42866,316,118,-32
CUST-100020,Summit Logistics,Logistics,Professional,124321,278,277,-24
CUST-100021,Pioneer Technologies,Manufacturing,Starter,62819,139,338,15
CUST-100022,Apex Systems,Healthcare,Professional,189892,457,56,-9
CUST-100023,Nova Health,Financial Services,Professional,142970,86,39,16
CUST-100024,Atlas Solutions,Healthcare,Starter,99194,40,209,22
CUST-100025,Nova Solutions,Technology,Professional,250555,99,147,14
CUST-100026,Summit Logistics,Manufacturing,Starter,296266,94,32,55
CUST-100027,Atlas Health,Healthcare,Enterprise,54001,272,96,-32
CUST-100028,Nimbus Financial,Education,Enterprise,32836,221,318,-30
CUST-100029,BluePeak Financial,Logistics,Enterprise,176722,493,123,-7
CUST-100030,Evergreen Systems,Healthcare,Professional,64418,249,38,28
