customer_id,active_user_pct,login_days_30d,feature_adoption_pct,usage_trend_pct
CUST-100000,80.9,23,65.0,11.7
CUST-100001,77.0,19,90.2,-10.5
CUST-100002,41.0,25,55.6,-18.2
CUST-100003,60.7,3,81.1,46.1
CUST-100004,61.2,9,88.8,5.2
CUST-100005,86.8,27,41.1,3.8
CUST-100006,85.3,8,71.8,-2.1
CUST-100007,78.2,20,29.2,5.8
CUST-100008,90.6,2,88.5,-15.1
CUST-100009,93.2,7,48.2,15.0
CUST-100010,98.9,16,75.4,60.7
CUST-100011,73.6,12,61.4,1.7
CUST-100012,68.2,17,58.6,9.0
CUST-100013,59.4,24,60.8,-7.1
CUST-100014,46.5,29,58.7,-6.2
CUST-100015,71.7,28,31.2,-19.3
CUST-100016,60.1,30,68.1,8.6
CUST-100017,92.6,21,84.5,14.2
CUST-100018,63.1,0,88.3,30.7
CUST-100019,83.7,28,41.1,9.7
CUST-100020,65.6,23,80.2,18.8
CUST-100021,46.1,11,94.2,23.4
CUST-100022,76.1,6,86.6,3.1
CUST-100023,92.9,25,49.9,17.3
CUST-100024,56.0,15,50.1,-1.4
CUST-100025,83.3,22,49.1,-19.3
CUST-100026,63.9,10,85.1,18.8
CUST-100027,75.1,19,76.5,-15.9
CUST-100028,78.4,13,80.3,19.5
CUST-100029,81.3,12,100.0,10.3
CUST-100030,63.3,6,69.8,41.7
CUST-100031,63.5,26,92.0,1.2
CUST-100032,72.8,30,53.7,38.6
CUST-100033,57.7,21,65.5,9.1
CUST-100034,77.7,10,32.5,17.0
CUST-100035,44.7,28,57.3,22.8
CUST-100036,80.0,28,85.0,-16.7
CUST-100037,100.0,4,36.5,-7.9
CUST-100038,68.4,21,69.3,11.6
CUST-100039,69.3,29,80.9,5.1
CUST-100040,61.4,8,86.7,6.4
CUST-100041,85.5,28,81.4,-0.4
CUST-100042,86.9,16,85.9,23.5
CUST-100043,77.8,30,65.1,1.7
CUST-100044,92.8,3,85.4,11.2
CUST-100045,73.4,6,53.1,17.6
CUST-100046,83.0,6,97.9,-7.8
CUST-100047,92.8,28,57.5,-12.0
CUST-100048,87.4,6,64.5,-0.3
CUST-100049,77.8,15,49.8,9.3
CUST-100050,73.3,14,89.6,8.5
CUST-100051,87.7,10,72.0,39.4
CUST-100052,90.6,24,28.2,-34.4
CUST-100053,48.2,22,100.0,21.2
CUST-100054,69.9,4,95.2,-28.7
CUST-100055,63.9,26,81.7,-19.2
CUST-100056,57.1,12,61.3,4.4
CUST-100057,83.6,21,98.1,-17.4
CUST-100058,40.8,18,99.8,15.9
CUST-100059,41.3,10,66.8,6.9
CUST-100060,78.6,23,47.3,-9.2
CUST-100061,57.3,4,55.7,-25.8
CUST-100062,81.3,19,94.5,15.3
CUST-100063,100.0,22,61.2,-11.3
CUST-100064,82.4,21,74.8,55.4
CUST-100065,43.1,26,72.5,-13.6
CUST-100066,60.4,26,44.2,30.4
CUST-100067,99.4,19,79.9,-18.7
CUST-100068,37.6,8,88.7,0.5
CUST-100069,60.3,24,57.3,-10.7
CUST-100070,76.9,22,66.9,-4.3
CUST-100071,73.8,14,84.5,-30.0
CUST-100072,42.7,6,69.1,4.7
CUST-100073,60.3,5,69.0,-15.5
CUST-100074,61.2,24,84.7,19.9
CUST-100075,75.1,8,70.0,8.8
CUST-100076,66.3,25,61.0,9.8
CUST-100077,59.8,14,18.9,18.9
CUST-100078,88.1,3,70.1,-15.9
CUST-100079,89.4,13,69.8,-8.8
CUST-100080,99.2,14,76.8,-6.3
CUST-100081,95.2,4,58.2,-7.7
CUST-100082,52.9,14,56.7,3.1
CUST-100083,100.0,10,70.8,2.0
CUST-100084,47.9,16,100.0,3.3
CUST-100085,100.0,13,79.5,-10.6
CUST-100086,87.3,30,16.9,-4.1
CUST-100087,51.7,16,64.7,-0.1
CUST-100088,67.2,24,43.7,46.3
CUST-100089,69.9,20,71.4,46.3
CUST-100090,24.3,29,92.0,22.4
CUST-100091,87.0,13,38.8,-6.5
CUST-100092,85.0,2,43.2,-9.4
CUST-100093,84.8,21,77.8,-6.5
CUST-100094,41.9,29,100.0,-22.3
CUST-100095,94.4,29,20.3,-31.6
CUST-100096,74.1,27,71.3,-6.5
CUST-100097,75.1,2,64.0,0.3
CUST-100098,42.7,20,80.1,36.1
CUST-100099,100.0,2,100.0,-18.1
CUST-100100,81.3,11,52.0,3.4
CUST-100101,96.1,2,48.6,10.3
CUST-100102,82.9,21,34.6,-0.1
CUST-100103,71.4,20,100.0,-11.3
CUST-100104,40.3,18,93.2,-23.7
CUST-100105,44.5,27,66.7,14.7
CUST-100106,71.3,19,83.0,0.5
CUST-100107,64.2,23,61.2,4.0
CUST-100108,98.0,16,72.3,18.6
CUST-100109,73.5,4,91.4,-9.3
CUST-100110,56.3,3,85.5,-5.4
CUST-100111,71.4,19,73.2,27.9
CUST-100112,100.0,20,53.4,21.0
