customer_id,support_tickets_30d,high_severity_cases,avg_resolution_days
CUST-100000,1,0,6.5
CUST-100001,1,0,2.4
CUST-100002,1,0,4.1
CUST-100003,0,0,4.3
CUST-100004,1,0,2.2
CUST-100005,1,3,0.5
CUST-100006,1,1,2.9
CUST-100007,0,2,2.7
CUST-100008,3,0,2.9
CUST-100009,1,1,4.1
CUST-100010,1,0,1.7
CUST-100011,2,1,0.5
CUST-100012,2,1,5.8
CUST-100013,2,0,0.6
CUST-100014,3,0,1.9
CUST-100015,0,0,1.5
CUST-100016,1,0,3.0
CUST-100017,3,0,1.7
CUST-100018,0,0,5.2
CUST-100019,2,0,1.7
CUST-100020,2,0,4.6
CUST-100021,4,0,1.8
CUST-100022,2,1,1.1
CUST-100023,2,0,4.3
CUST-100024,4,0,4.2
CUST-100025,4,1,4.5
CUST-100026,1,0,2.8
CUST-100027,2,0,3.8
CUST-100028,1,1,5.6
CUST-100029,4,0,5.8
CUST-100030,2,0,0.5
CUST-100031,2,0,1.3
CUST-100032,3,1,4.8
CUST-100033,1,0,5.2
CUST-100034,3,0,6.0
CUST-100035,0,0,2.1
CUST-100036,2,0,3.4
CUST-100037,2,1,3.8
CUST-100038,3,0,3.8
CUST-100039,0,0,2.3
CUST-100040,4,0,2.1
CUST-100041,2,2,3.7
CUST-100042,2,0,3.5
CUST-100043,2,0,4.7
CUST-100044,0,0,4.8
CUST-100045,1,0,3.2
CUST-100046,2,0,3.9
CUST-100047,0,1,6.2
CUST-100048,0,0,1.5
CUST-100049,2,1,6.6
CUST-100050,3,0,3.6
CUST-100051,1,0,1.9
CUST-100052,2,3,4.2
CUST-100053,2,0,2.6
CUST-100054,0,4,2.3
CUST-100055,2,1,3.2
CUST-100056,4,1,7.6
CUST-100057,1,0,4.9
CUST-100058,3,0,3.2
CUST-100059,2,0,3.4
CUST-100060,3,0,1.4
CUST-100061,2,0,3.1
CUST-100062,2,0,2.3
CUST-100063,1,0,0.5
CUST-100064,0,0,5.7
CUST-100065,0,0,0.7
CUST-100066,2,0,5.3
CUST-100067,1,0,3.1
CUST-100068,1,0,3.8
CUST-100069,2,0,1.8
CUST-100070,4,0,1.7
CUST-100071,2,0,4.6
CUST-100072,2,0,1.7
CUST-100073,0,1,2.7
CUST-100074,2,0,5.0
CUST-100075,1,1,6.7
CUST-100076,3,1,5.6
CUST-100077,1,1,1.8
CUST-100078,3,1,4.1
CUST-100079,1,1,4.3
CUST-100080,1,1,5.2
CUST-100081,4,0,2.4
CUST-100082,3,0,5.2
CUST-100083,3,0,5.0
CUST-100084,2,2,3.7
CUST-100085,2,0,3.2
CUST-100086,2,0,4.8
CUST-100087,3,0,0.9
CUST-100088,0,1,3.6
CUST-100089,0,1,1.3
CUST-100090,1,2,0.5
CUST-100091,1,0,3.4
CUST-100092,2,0,4.5
CUST-100093,2,1,5.8
CUST-100094,2,0,1.9
CUST-100095,2,1,2.4
CUST-100096,2,0,3.4
CUST-100097,1,0,4.2
CUST-100098,2,0,4.9
CUST-100099,3,0,4.5
CUST-100100,1,0,2.0
CUST-100101,4,0,0.5
CUST-100102,3,0,2.2
CUST-100103,3,0,7.1
CUST-100104,5,1,3.0
CUST-100105,0,1,3.8
CUST-100106,2,0,3.6
CUST-100107,2,0,2.5
CUST-100108,2,0,0.5
CUST-100109,5,0,6.3
CUST-100110,1,0,1.9
CUST-100111,3,0,1.5
CUST-100112,1,0,6.7
CUST-100113,0,4,5.9
CUST-100114,2,0,4.4
CUST-100115,6,0,2.7
CUST-100116,0,0,7.1
CUST-100117,3,1,5.9
CUST-100118,6,1,5.7
CUST-100119,3,0,4.5
CUST-100120,3,1,5.0
CUST-100121,0,1,3.9
CUST-100122,2,0,3.8
CUST-100123,3,1,0.5
CUST-100124,1,1,5.5
CUST-100125,2,1,4.8
CUST-100126,3,2,6.4
CUST-100127,0,1,4.1
CUST-100128,1,0,7.1
CUST-100129,1,0,5.5
CUST-100130,3,0,5.0
CUST-100131,2,0,3.5
CUST-100132,0,0,3.3
CUST-100133,1,0,4.7
CUST-100134,4,1,2.2
CUST-100135,3,0,6.1
CUST-100136,2,1,4.3
CUST-100137,3,1,5.0
CUST-100138,2,1,5.2
CUST-100139,4,0,2.6
CUST-100140,2,0,4.3
CUST-100141,2,0,2.8
CUST-100142,1,1,5.8
CUST-100143,1,0,2.5
CUST-100144,5,0,5.9
CUST-100145,0,0,3.6
CUST-100146,0,0,0.5
CUST-100147,2,0,0.5
CUST-100148,1,1,1.4
CUST-100149,5,0,4.5
CUST-100150,3,0,4.8
CUST-100151,4,0,4.3
CUST-100152,1,0,6.3
CUST-100153,1,0,6.6
CUST-100154,3,0,8.0
CUST-100155,6,0,0.5
CUST-100156,0,0,4.6
CUST-100157,2,1,2.3
CUST-100158,1,1,1.6
CUST-100159,2,0,4.6
CUST-100160,1,0,3.6
CUST-100161,2,1,5.0
CUST-100162,1,1,7.8
CUST-100163,2,0,3.2
CUST-100164,4,0,6.8
CUST-100165,0,1,3.1
CUST-100166,1,1,3.1
CUST-100167,1,0,7.7
CUST-100168,2,1,3.4
CUST-100169,4,0,2.9
CUST-100170,1,1,6.0
CUST-100171,1,1,1.7
CUST-100172,5,1,1.2
CUST-100173,1,0,4.7
CUST-100174,2,2,3.5
CUST-100175,1,0,0.9
CUST-100176,2,0,2.2
CUST-100177,0,1,4.3
CUST-100178,1,0,2.9
CUST-100179,1,1,8.1
CUST-100180,2,0,2.9
CUST-100181,1,0,1.9
CUST-100182,2,0,1.6
CUST-100183,2,2,6.9
CUST-100184,2,1,7.2
CUST-100185,1,0,5.1
CUST-100186,0,0,3.8
CUST-100187,3,0,1.6
CUST-100188,0,0,5.3
CUST-100189,0,0,2.5
CUST-100190,4,0,3.6
CUST-100191,2,0,4.2
CUST-100192,1,0,3.8
CUST-100193,4,0,2.3
CUST-100194,1,2,5.8
CUST-100195,1,1,4.7
CUST-100196,5,0,3.7
CUST-100197,3,0,4.7
CUST-100198,1,2,1.3
CUST-100199,2,0,5.4
CUST-100200,1,0,8.6
CUST-100201,3,0,5.4
CUST-100202,3,0,5.4
CUST-100203,5,1,0.8
CUST-100204,1,0,0.5
CUST-100205,1,2,3.2
CUST-100206,0,1,3.4
CUST-100207,1,1,4.4
CUST-100208,2,1,1.8
CUST-100209,2,0,1.2
CUST-100210,0,0,3.7
CUST-100211,4,0,4.6
CUST-100212,2,1,2.6
CUST-100213,2,2,3.7
CUST-100214,0,0,7.6
CUST-100215,1,1,1.9
CUST-100216,2,0,0.5
CUST-100217,0,0,9.9
CUST-100218,2,0,0.6
CUST-100219,1,1,5.2
CUST-100220,2,2,4.3
CUST-100221,2,0,4.4
CUST-100222,0,1,4.2
CUST-100223,2,0,4.2
CUST-100224,1,1,5.5
CUST-100225,3,1,0.5
CUST-100226,2,0,1.9
CUST-100227,3,0,5.1
CUST-100228,3,1,4.5
CUST-100229,3,0,3.3
CUST-100230,3,2,5.0
CUST-100231,0,0,7.2
CUST-100232,1,1,0.5
CUST-100233,1,0,3.2
CUST-100234,0,0,5.8
CUST-100235,2,1,8.9
CUST-100236,2,0,6.1
CUST-100237,5,0,3.1
CUST-100238,1,0,0.5
CUST-100239,3,1,2.0
CUST-100240,5,0,1.9
CUST-100241,2,2,3.1
CUST-100242,2,0,4.2
CUST-100243,3,0,3.2
CUST-100244,1,1,4.1
CUST-100245,2,0,3.1
CUST-100246,4,0,1.8
CUST-100247,4,0,3.0
CUST-100248,1,0,5.8
CUST-100249,2,0,3.2
CUST-100250,2,1,6.0
CUST-100251,1,0,3.5
CUST-100252,1,1,2.8
CUST-100253,2,0,0.5
CUST-100254,1,0,6.0
CUST-100255,1,0,5.0
CUST-100256,2,0,5.3
CUST-100257,5,1,4.0
CUST-100258,4,0,1.2
CUST-100259,4,1,0.5
CUST-100260,4,1,3.2
CUST-100261,2,0,3.0
CUST-100262,1,2,2.1
CUST-100263,6,0,4.4
CUST-100264,1,2,3.2
CUST-100265,3,0,3.1
CUST-100266,4,0,1.6
CUST-100267,2,1,4.1
CUST-100268,2,1,3.9
CUST-100269,1,0,2.5
CUST-100270,2,1,3.5
CUST-100271,1,1,2.9
CUST-100272,2,1,3.2
CUST-100273,5,0,1.9
CUST-100274,3,0,2.6
CUST-100275,2,0,2.9
CUST-100276,1,0,6.7
CUST-100277,2,0,6.8
CUST-100278,2,0,1.5
CUST-100279,2,0,3.1
CUST-100280,4,0,5.7
CUST-100281,0,0,2.4
CUST-100282,0,0,0.6
CUST-100283,3,0,4.0
CUST-100284,1,4,3.3
CUST-100285,3,1,2.9
CUST-100286,2,1,1.0
CUST-100287,1,1,4.7
CUST-100288,1,0,0.5
CUST-100289,4,1,4.7
CUST-100290,2,3,3.8
CUST-100291,2,0,4.5
CUST-100292,1,0,4.2
CUST-100293,1,1,1.0
CUST-100294,1,0,2.5
CUST-100295,5,1,6.1
CUST-100296,2,0,5.0
CUST-100297,2,1,4.7
CUST-100298,2,0,2.7
CUST-100299,0,0,4.4
CUST-100300,4,0,2.8
CUST-100301,0,0,0.5
CUST-100302,1,0,1.5
CUST-100303,1,0,4.4
