customer_id,company_name,industry,subscription_tier,annual_recurring_revenue,licensed_users,active_users,active_user_pct,feature_adoption_pct,login_days_30d,support_tickets_30d,avg_resolution_days,nps_score,renewal_days,days_since_csm_touch,has_executive_sponsor,renewal_window,low_usage_flag,low_adoption_flag,high_support_flag,negative_nps_flag,stale_csm_touch_flag
CUST-100000,"Perez, Burch and Harmon",Healthcare,Enterprise,70369,342,271,79.2,87.9,7,0,4.1,-12,141,17,0,Renewal not imminent,0,0,0,1,0
CUST-100001,"Marshall, Jacobson and Kline",Healthcare,Enterprise,297929,361,275,76.2,86.4,1,1,4.6,-37,217,11,0,Renewal not imminent,0,0,0,1,0
CUST-100002,"Chapman, Smith and Rich",Education,Starter,276951,134,43,32.1,91.3,6,2,4.1,51,288,83,1,Renewal not imminent,1,0,0,0,1
CUST-100003,Byrd and Sons,Education,Professional,247514,127,92,72.4,54.8,24,0,2.5,63,4,20,1,Renewal due in 30 days,0,0,0,0,0
CUST-100004,Olson Inc,Manufacturing,Starter,157684,189,119,63.0,87.5,3,1,7.2,-29,173,48,0,Renewal not imminent,0,0,0,1,0
CUST-100005,Leonard Group,Education,Professional,192331,198,135,68.2,74.0,23,3,0.5,18,23,68,0,Renewal due in 30 days,0,0,0,0,1
CUST-100006,"Armstrong, Knox and Morton",Healthcare,Enterprise,210461,487,366,75.2,81.8,26,2,2.9,40,151,79,1,Renewal not imminent,0,0,0,0,1
CUST-100007,"Bridges, Adkins and Miller",Logistics,Starter,112814,310,239,77.1,41.5,21,1,5.3,-11,24,98,1,Renewal due in 30 days,0,1,0,1,1
CUST-100008,Manning-Nguyen,Healthcare,Professional,134049,55,32,58.2,91.4,14,1,5.7,41,143,106,1,Renewal not imminent,0,0,0,0,1
CUST-100009,Perry-Espinoza,Financial Services,Starter,206081,98,82,83.7,92.7,8,4,3.3,49,344,119,0,Renewal not imminent,0,0,0,0,1
CUST-100010,Gonzalez Ltd,Education,Enterprise,101725,326,215,66.0,71.8,5,2,2.9,19,126,48,1,Renewal not imminent,0,0,0,0,0
CUST-100011,Gallagher LLC,Logistics,Professional,127141,488,459,94.1,72.1,7,5,2.6,65,29,4,1,Renewal due in 30 days,0,0,1,0,0
CUST-100012,"Dennis, Reilly and Berry",Healthcare,Starter,152373,220,161,73.2,84.5,28,1,4.8,51,291,40,0,Renewal not imminent,0,0,0,0,0
CUST-100013,Jones-Rodriguez,Technology,Enterprise,273740,350,267,76.3,99.0,4,0,4.2,-7,235,17,0,Renewal not imminent,0,0,0,1,0
CUST-100014,"Martin, Martinez and Shaw",Financial Services,Enterprise,294579,396,312,78.8,44.1,13,3,3.8,74,300,74,1,Renewal not imminent,0,1,0,0,1
CUST-100015,Doyle-Garza,Manufacturing,Enterprise,126987,200,111,55.5,61.9,2,2,8.4,56,253,6,0,Renewal not imminent,0,0,0,0,0
CUST-100016,"Combs, Perez and Montgomery",Logistics,Professional,95876,93,66,71.0,47.3,2,2,1.2,9,306,48,1,Renewal not imminent,0,1,0,0,0
CUST-100017,Mejia Inc,Education,Starter,143813,285,265,93.0,92.4,23,2,2.4,-26,349,87,1,Renewal not imminent,0,0,0,1,1
CUST-100018,"Johnston, Gonzalez and Smith",Healthcare,Professional,190349,408,198,48.5,66.2,5,1,1.7,18,223,0,1,Renewal not imminent,0,0,0,0,0
CUST-100019,Gonzales Inc,Education,Starter,105665,271,163,60.1,76.3,9,3,4.6,67,321,81,0,Renewal not imminent,0,0,0,0,1
CUST-100020,"Silva, Glover and Ortiz",Manufacturing,Enterprise,208038,93,70,75.3,62.3,29,3,1.8,-40,272,76,1,Renewal not imminent,0,0,0,1,1
CUST-100021,West-Smith,Healthcare,Professional,22211,265,202,76.2,63.3,7,2,1.1,-33,158,30,0,Renewal not imminent,0,0,0,1,0
CUST-100022,Terry LLC,Healthcare,Enterprise,266798,58,35,60.3,44.7,4,1,4.3,44,65,60,0,Renewal due in 90 days,0,1,0,0,0
CUST-100023,"Nguyen, Boyd and Hall",Education,Professional,288653,150,77,51.3,67.0,29,4,4.2,29,109,96,0,Renewal not imminent,0,0,0,0,1
CUST-100024,Freeman-Freeman,Technology,Enterprise,175429,380,309,81.3,63.9,11,4,3.2,16,333,115,1,Renewal not imminent,0,0,0,0,1
CUST-100025,"Rush, Miller and Gomez",Manufacturing,Starter,141973,76,53,69.7,89.0,0,1,0.5,35,174,70,0,Renewal not imminent,0,0,0,0,1
CUST-100026,Crane LLC,Healthcare,Starter,127457,316,261,82.6,86.4,20,2,3.8,-33,363,29,0,Renewal not imminent,0,0,0,1,0
CUST-100027,Jensen PLC,Financial Services,Starter,28469,478,369,77.2,89.4,7,5,6.3,-5,264,85,1,Renewal not imminent,0,0,1,1,1
CUST-100028,"Christensen, Grimes and Larson",Manufacturing,Enterprise,294713,124,99,79.8,79.2,18,1,3.9,20,293,31,1,Renewal not imminent,0,0,0,0,0
CUST-100029,Nunez Group,Manufacturing,Starter,225416,428,276,64.5,94.9,21,0,4.2,15,50,45,1,Renewal due in 90 days,0,0,0,0,0
CUST-100030,Berger-Cervantes,Logistics,Starter,256855,225,131,58.2,81.5,20,0,4.9,42,345,12,0,Renewal not imminent,0,0,0,0,0
CUST-100031,Green LLC,Healthcare,Starter,189892,221,160,72.4,45.2,6,2,5.2,28,99,57,0,Renewal not imminent,0,1,0,0,0
CUST-100032,Lucero LLC,Financial Services,Professional,108200,231,150,64.9,44.2,27,1,5.2,78,128,9,1,Renewal not imminent,0,1,0,0,0
CUST-100033,"Bush, Davis and Brown",Healthcare,Enterprise,63332,428,328,76.6,79.5,26,3,5.3,-39,277,11,0,Renewal not imminent,0,0,0,1,0
CUST-100034,Sanders-Ortega,Technology,Professional,225078,100,61,61.0,51.1,27,0,5.0,11,110,115,0,Renewal not imminent,0,0,0,0,1
CUST-100035,"Moss, Mcdowell and Leach",Healthcare,Professional,210691,99,23,23.2,93.6,29,1,0.9,60,136,100,1,Renewal not imminent,1,0,0,0,1
CUST-100036,Simmons-Santana,Logistics,Enterprise,233777,161,150,93.2,49.5,21,0,5.3,51,285,62,0,Renewal not imminent,0,1,0,0,1
CUST-100037,Warner Inc,Manufacturing,Starter,167560,112,77,68.8,72.5,23,4,4.8,29,297,7,1,Renewal not imminent,0,0,0,0,0
CUST-100038,Graham-Hernandez,Education,Professional,38289,44,33,75.0,52.7,29,2,2.6,69,258,67,0,Renewal not imminent,0,0,0,0,1
CUST-100039,Hernandez-Barnett,Healthcare,Starter,278248,44,37,84.1,74.4,19,1,4.8,-32,36,86,0,Renewal due in 90 days,0,0,0,1,1
CUST-100040,Hernandez-Mccarty,Education,Starter,74855,221,99,44.8,50.2,19,3,3.1,-35,297,79,0,Renewal not imminent,0,0,0,1,1
CUST-100041,Johnson-Lin,Financial Services,Professional,286088,229,165,72.1,72.0,21,0,2.9,51,105,40,0,Renewal not imminent,0,0,0,0,0
CUST-100042,Robbins Ltd,Manufacturing,Enterprise,219505,150,115,76.7,44.1,9,1,5.6,18,331,40,0,Renewal not imminent,0,1,0,0,0
CUST-100043,Marshall LLC,Education,Enterprise,252273,19,16,84.2,87.8,2,3,3.5,28,52,27,1,Renewal due in 90 days,0,0,0,0,0
CUST-100044,Stevens and Sons,Healthcare,Starter,194981,82,64,78.0,75.3,9,1,3.9,-20,190,56,1,Renewal not imminent,0,0,0,1,0
CUST-100045,Perez-Knight,Healthcare,Enterprise,289317,328,164,50.0,70.3,9,4,6.2,79,284,84,0,Renewal not imminent,0,0,0,0,1
CUST-100046,"Brown, Reynolds and Johnson",Financial Services,Starter,82407,495,333,67.3,68.7,23,3,1.8,30,55,19,1,Renewal due in 90 days,0,0,0,0,0
CUST-100047,Pope-Barr,Logistics,Professional,122430,159,106,66.7,74.4,21,4,3.5,41,105,109,1,Renewal not imminent,0,0,0,0,1
CUST-100048,Branch-Daniel,Financial Services,Starter,268131,273,273,100.0,67.7,20,1,5.5,14,48,106,1,Renewal due in 90 days,0,0,0,0,1
CUST-100049,Crawford-Taylor,Financial Services,Starter,13858,37,14,37.8,94.4,8,1,4.2,-20,327,94,1,Renewal not imminent,1,0,0,1,1
CUST-100050,Taylor and Sons,Education,Starter,236231,297,155,52.2,86.2,2,2,2.9,80,58,113,0,Renewal due in 90 days,0,0,0,0,1
CUST-100051,Johnson-Jordan,Financial Services,Enterprise,30889,294,226,76.9,74.6,4,1,6.0,15,283,16,0,Renewal not imminent,0,0,0,0,0
CUST-100052,"Hutchinson, Thomas and Tran",Healthcare,Professional,203182,172,130,75.6,76.2,21,3,3.6,-9,108,85,0,Renewal not imminent,0,0,0,1,1
CUST-100053,Burnett-Washington,Education,Enterprise,225058,196,100,51.0,94.2,29,4,6.1,79,80,30,0,Renewal due in 90 days,0,0,0,0,0
CUST-100054,Bowman-Spencer,Technology,Starter,104826,424,424,100.0,93.5,23,3,3.0,78,92,42,1,Renewal not imminent,0,0,0,0,0
CUST-100055,"Jones, Alvarez and Garcia",Financial Services,Starter,142111,425,373,87.8,36.9,3,3,3.2,8,360,111,0,Renewal not imminent,0,1,0,0,1
CUST-100056,"Phillips, Morgan and Jackson",Manufacturing,Starter,258777,454,210,46.3,73.3,11,2,4.3,-1,236,105,0,Renewal not imminent,0,0,0,1,1
CUST-100057,Bryant Group,Logistics,Starter,24406,129,71,55.0,78.5,10,1,5.4,-5,205,110,0,Renewal not imminent,0,0,0,1,1
CUST-100058,Johnson PLC,Financial Services,Enterprise,158341,410,245,59.8,69.9,12,2,1.4,46,261,107,1,Renewal not imminent,0,0,0,0,1
CUST-100059,Brown-Moon,Healthcare,Professional,26470,495,304,61.4,63.0,18,1,2.3,-7,92,4,0,Renewal not imminent,0,0,0,1,0
CUST-100060,Smith-Vaughan,Financial Services,Enterprise,239836,320,217,67.8,56.0,13,0,0.5,37,161,65,0,Renewal not imminent,0,0,0,0,1
CUST-100061,Cruz-Morton,Financial Services,Starter,111656,212,179,84.4,22.8,13,2,5.7,-40,363,66,0,Renewal not imminent,0,1,0,1,1
CUST-100062,Medina-Booth,Healthcare,Enterprise,238124,201,121,60.2,77.7,19,0,2.2,0,170,84,0,Renewal not imminent,0,0,0,0,1
CUST-100063,Schneider-Parker,Education,Professional,169455,383,288,75.2,80.7,13,3,6.5,1,342,51,1,Renewal not imminent,0,0,0,0,0
CUST-100064,"Perez, Becker and Dickerson",Manufacturing,Professional,78735,298,197,66.1,51.5,30,3,7.3,8,341,86,0,Renewal not imminent,0,0,0,0,1
CUST-100065,Fowler-Pena,Technology,Enterprise,169784,330,214,64.8,77.3,9,1,1.8,-4,1,26,1,Renewal due in 30 days,0,0,0,1,0
CUST-100066,Vargas Group,Technology,Professional,180951,417,143,34.3,82.1,21,3,1.7,-13,227,65,1,Renewal not imminent,1,0,0,1,1
CUST-100067,Cisneros LLC,Logistics,Starter,100967,421,336,79.8,94.4,16,1,4.6,44,146,81,1,Renewal not imminent,0,0,0,0,1
