customer_id,company_name,industry,subscription_tier,annual_recurring_revenue,renewal_days,health_score,health_status,primary_risk_reasons,recommended_action,salesforce_update_date
CUST-100000,"Perez, Burch and Harmon",Healthcare,Enterprise,70369,141,77.4,Healthy,Negative NPS,Monitor,2026-06-27
CUST-100001,"Marshall, Jacobson and Kline",Healthcare,Enterprise,297929,217,72.0,Healthy,Negative NPS,Evaluate expansion opportunity,2026-06-27
CUST-100002,"Chapman, Smith and Rich",Education,Starter,276951,288,57.4,Watch,Low active usage; No recent CSM touch,Monitor,2026-06-27
CUST-100003,Byrd and Sons,Education,Professional,247514,4,73.6,Healthy,Upcoming renewal,Evaluate expansion opportunity,2026-06-27
CUST-100004,Olson Inc,Manufacturing,Starter,157684,173,63.1,Watch,Negative NPS,Monitor,2026-06-27
CUST-100005,Leonard Group,Education,Professional,192331,23,63.4,Watch,No recent CSM touch; Upcoming renewal,Monitor,2026-06-27
CUST-100006,"Armstrong, Knox and Morton",Healthcare,Enterprise,210461,151,68.5,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100007,"Bridges, Adkins and Miller",Logistics,Starter,112814,24,53.7,Watch,Low feature adoption; Negative NPS; No recent CSM touch; Upcoming renewal,Schedule product enablement session,2026-06-27
CUST-100008,Manning-Nguyen,Healthcare,Professional,134049,143,63.9,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100009,Perry-Espinoza,Financial Services,Starter,206081,344,67.2,Watch,No recent CSM touch,Monitor,2026-06-27
CUST-100010,Gonzalez Ltd,Education,Enterprise,101725,126,64.8,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100011,Gallagher LLC,Logistics,Professional,127141,29,74.2,Healthy,High support volume; Upcoming renewal,Review support history and escalate recurring issues,2026-06-27
CUST-100012,"Dennis, Reilly and Berry",Healthcare,Starter,152373,291,74.2,Healthy,No major risk drivers,Evaluate expansion opportunity,2026-06-27
CUST-100013,Jones-Rodriguez,Technology,Enterprise,273740,235,79.6,Healthy,Negative NPS,Evaluate expansion opportunity,2026-06-27
CUST-100014,"Martin, Martinez and Shaw",Financial Services,Enterprise,294579,300,60.1,Watch,Low feature adoption; No recent CSM touch,Schedule product enablement session,2026-06-27
CUST-100015,Doyle-Garza,Manufacturing,Enterprise,126987,253,61.7,Watch,No major risk drivers,Monitor,2026-06-27
CUST-100016,"Combs, Perez and Montgomery",Logistics,Professional,95876,306,60.7,Watch,Low feature adoption,Schedule product enablement session,2026-06-27
CUST-100017,Mejia Inc,Education,Starter,143813,349,71.1,Healthy,Negative NPS; No recent CSM touch,Evaluate expansion opportunity,2026-06-27
